X1,Y1,X2,Y2,X3,Y3,Vel
-0.000180,0.080149,-0.015303,0.080395,-0.007857,0.067341,0.001572
0.079427,-0.030013,0.092497,-0.037647,0.092609,-0.022832,0.006653
0.092609,-0.022832,0.079722,-0.015319,0.079427,-0.030013,-0.005134
0.092497,-0.037647,0.105714,-0.030096,0.092609,-0.022832,-0.005153
0.079427,-0.030013,0.079417,-0.044843,0.092497,-0.037647,-0.005187
0.105656,0.014231,0.092424,0.021315,0.092680,0.006607,-0.005061
0.092680,0.006607,0.105746,-0.000510,0.105656,0.014231,0.008594
0.092424,0.021315,0.079659,0.013627,0.092680,0.006607,0.008564
0.105656,0.014231,0.105486,0.029032,0.092424,0.021315,0.007972
0.067691,0.005802,0.066115,0.020278,0.054359,0.010606,0.006905
0.054359,0.010606,0.058069,-0.001113,0.067691,0.005802,-0.004538
0.066115,0.020278,0.049850,0.027214,0.054359,0.010606,-0.004223
0.067691,0.005802,0.079659,0.013627,0.066115,0.020278,-0.005010
0.066887,-0.051779,0.065704,-0.065778,0.079350,-0.059953,-0.005828
0.079350,-0.059953,0.079417,-0.044843,0.066887,-0.051779,0.009114
0.065704,-0.065778,0.078396,-0.077355,0.079350,-0.059953,0.008751
0.066887,-0.051779,0.056643,-0.057551,0.065704,-0.065778,0.007669
0.092888,-0.067548,0.094995,-0.082071,0.105961,-0.073611,-0.004080
0.105961,-0.073611,0.105555,-0.059667,0.092888,-0.067548,0.009854
0.094995,-0.082071,0.106694,-0.085119,0.105961,-0.073611,0.010655
0.092888,-0.067548,0.078396,-0.077355,0.094995,-0.082071,0.012394
0.105551,-0.044917,0.092497,-0.037647,0.092604,-0.052492,-0.005360
0.092604,-0.052492,0.105555,-0.059667,0.105551,-0.044917,0.009600
0.092497,-0.037647,0.079417,-0.044843,0.092604,-0.052492,0.008394
0.105551,-0.044917,0.105714,-0.030096,0.092497,-0.037647,0.007474
0.077005,-0.106575,0.085457,-0.093491,0.069427,-0.092709,-0.000356
0.069427,-0.092709,0.061405,-0.106280,0.077005,-0.106575,0.000396
0.085457,-0.093491,0.078396,-0.077355,0.069427,-0.092709,0.002913
0.077005,-0.106575,0.092492,-0.107169,0.085457,-0.093491,0.000485
0.092888,-0.067548,0.092604,-0.052492,0.079350,-0.059953,0.010930
0.079350,-0.059953,0.078396,-0.077355,0.092888,-0.067548,-0.004486
